Order ID,Order Date,Customer ID,Product ID,Units Sold,Total Sales
21628,6-28-2015,E1024,2,15,?150.00
17365,10-19-2016,E1076,12,2,?527.00
79261,10-8-2016,E1060,73,60,"?1,800.00"
26314,10-22-2018,E1036,9,60,"?1,320.00"
64972,9-24-2018,E1067,70,28,?651.00
16415,3-17-2018,E1062,41,36,"?1,252.80"
49535,3-8-2017,E1077,12,35,"?9,222.50"
83567,4-5-2015,E1068,69,25,"?3,094.75"
36726,5-14-2018,E1010,17,30,?465.00
83732,11-11-2016,E1070,74,20,?325.00
36630,5-25-2018,E1073,38,12,?384.00
35885,8-28-2015,E1077,2,15,?150.00
66628,8-13-2016,E1030,60,50,?625.00
67736,3-23-2015,E1043,75,70,"?3,073.00"
77057,1-17-2016,E1071,31,4,?24.00
87457,9-24-2017,E1081,4,10,?340.00
18328,2-24-2015,E1019,68,20,?184.00
8791,6-12-2017,E1037,31,60,?360.00
54555,9-24-2016,E1030,33,30,?420.00
46823,10-28-2017,E1048,45,25,?325.00
63010,11-17-2017,E1007,75,24,"?1,053.60"
66494,9-20-2016,E1070,62,40,"?3,240.00"
10380,3-27-2015,E1050,15,6,?129.00
48434,9-11-2018,E1078,33,24,?336.00
49301,2-10-2017,E1019,2,60,?600.00
14894,3-8-2016,E1014,11,20,?255.00
30193,11-25-2015,E1080,19,15,?187.50
31390,9-1-2016,E1048,51,24,?912.00
81128,5-31-2018,E1067,65,33,?396.00
49965,9-1-2018,E1059,37,20,"?1,060.00"
65904,1-13-2018,E1064,68,7,?64.40
79037,12-15-2018,E1086,26,12,?252.00
13792,9-21-2016,E1070,48,6,?104.70
24466,11-20-2016,E1045,58,15,?210.00
58810,9-17-2016,E1039,75,10,?439.00
41711,5-3-2016,E1041,8,20,?360.00
42028,4-17-2018,E1084,12,12,"?3,162.00"
11910,5-23-2018,E1032,20,15,?375.00
77997,11-19-2015,E1083,31,25,?150.00
46788,4-15-2015,E1044,28,16,?304.00
79629,2-17-2017,E1021,61,8,?112.00
18903,2-13-2016,E1006,42,15,?388.35
52873,11-16-2018,E1064,2,20,?200.00
56257,9-20-2016,E1035,42,30,?776.70
65488,9-30-2015,E1040,13,12,?159.00
58385,9-27-2018,E1003,7,6,?114.00
88730,5-29-2016,E1031,49,4,?131.20
55944,5-5-2017,E1020,63,1,?10.00
25692,8-29-2017,E1021,3,2,?36.80
24349,5-24-2016,E1086,24,6,?116.70
9718,4-19-2018,E1068,3,18,?331.20
46570,11-26-2018,E1033,61,35,?490.00
56629,12-11-2017,E1079,27,20,?620.00
29377,7-19-2018,E1003,63,3,?30.00
87219,5-8-2015,E1055,48,5,?87.25
7227,9-19-2017,E1028,21,21,?546.00
85635,3-29-2018,E1083,43,20,?800.00
72306,7-22-2015,E1049,75,15,?658.50
27922,1-19-2016,E1024,44,45,?630.00
26293,6-5-2015,E1033,30,40,?386.00
18015,1-27-2015,E1007,73,36,"?1,080.00"
82065,8-26-2018,E1025,26,40,?840.00
29958,11-3-2018,E1028,42,100,"?2,589.00"
55277,7-23-2017,E1038,23,15,?540.00
10141,11-13-2015,E1083,23,40,"?1,440.00"
36819,10-5-2017,E1054,77,20,?190.00
81664,3-26-2017,E1001,20,3,?75.00
59256,1-2-2016,E1020,20,10,?250.00
75907,8-21-2015,E1073,4,30,"?1,020.00"
57446,3-15-2017,E1022,30,9,?86.85
36482,5-8-2017,E1044,63,10,?100.00
31924,12-19-2016,E1062,39,15,?300.00
80915,7-13-2016,E1027,25,15,?468.45
77763,1-12-2017,E1043,20,20,?500.00
30870,6-24-2016,E1036,13,24,?318.00
65286,5-26-2015,E1019,43,20,?800.00
47028,3-15-2016,E1061,24,2,?38.90
51708,10-14-2017,E1074,71,20,?149.00
70847,5-14-2017,E1012,17,12,?186.00
47837,10-9-2017,E1006,62,6,?486.00
11990,9-6-2017,E1041,50,10,?210.00
70132,8-12-2017,E1069,68,5,?46.00
43281,8-12-2015,E1010,76,21,?698.25
79162,12-21-2015,E1025,58,6,?84.00
68961,9-30-2017,E1012,23,18,?648.00
81845,7-30-2015,E1064,43,15,?600.00
17960,7-31-2016,E1057,32,15,?270.00
67432,12-8-2017,E1082,67,4,?197.20
47147,10-29-2016,E1080,34,15,?150.00
37547,5-29-2015,E1036,47,12,?288.00
24899,10-2-2017,E1025,43,30,"?1,200.00"
43594,8-3-2016,E1010,26,20,?420.00
52473,10-5-2017,E1003,57,60,"?2,736.00"
48602,10-25-2015,E1073,4,40,"?1,360.00"
81099,7-6-2016,E1065,76,40,"?1,330.00"
11505,12-2-2015,E1066,5,15,?937.50
46442,4-25-2018,E1005,16,30,?75.00
47350,12-15-2017,E1034,9,20,?440.00
39113,12-14-2017,E1022,66,15,?270.00
47983,1-20-2018,E1046,71,20,?149.00
83649,12-24-2015,E1043,32,30,?540.00
38120,9-30-2018,E1073,1,20,?780.00
89784,1-5-2018,E1026,47,10,?240.00
65977,4-23-2018,E1039,17,12,?186.00
89679,11-30-2016,E1044,57,28,"?1,276.80"
72896,11-30-2015,E1071,3,40,?736.00
55152,8-12-2016,E1052,65,30,?360.00
75132,3-9-2017,E1057,17,40,?620.00
49935,3-29-2018,E1085,33,15,?210.00
49431,9-13-2016,E1023,67,30,"?1,479.00"
34489,1-22-2017,E1044,52,10,?550.00
67268,3-27-2018,E1032,73,2,?60.00
88448,8-22-2018,E1033,12,30,"?7,905.00"
79432,9-29-2016,E1077,13,25,?331.25
54116,7-1-2016,E1004,7,25,?475.00
64222,4-3-2016,E1012,23,10,?360.00
54519,2-23-2015,E1057,31,10,?60.00
49183,4-13-2018,E1078,6,5,?90.00
40779,7-16-2016,E1070,49,10,?328.00
27208,7-20-2017,E1006,20,3,?75.00
31288,6-22-2015,E1040,26,5,?105.00
10245,8-26-2016,E1010,26,1,?21.00
89640,8-6-2015,E1030,17,2,?31.00
12548,11-6-2016,E1025,52,20,"?1,100.00"
77090,6-5-2018,E1026,52,30,"?1,650.00"
84807,8-31-2015,E1045,22,20,?90.00
45093,8-12-2016,E1074,47,3,?72.00
27100,10-11-2015,E1072,5,10,?625.00
65854,5-17-2018,E1054,3,5,?92.00
88887,8-29-2018,E1060,12,7,"?1,844.50"
58632,9-2-2016,E1040,75,6,?263.40
35732,12-6-2016,E1024,65,10,?120.00
7825,12-27-2016,E1081,6,4,?72.00
63189,2-9-2018,E1042,22,24,?108.00
69600,6-5-2015,E1085,70,20,?465.00
37665,9-4-2018,E1055,43,12,?480.00
88355,4-30-2016,E1081,11,25,?318.75
21485,6-15-2017,E1009,39,30,?600.00
9655,1-21-2018,E1033,57,40,"?1,824.00"
30798,4-21-2016,E1046,48,30,?523.50
16669,1-27-2015,E1001,12,14,"?3,689.00"
17680,6-4-2017,E1074,16,70,?175.00
44230,8-2-2015,E1030,48,10,?174.50
78796,12-19-2016,E1016,53,20,?390.00
9894,6-22-2015,E1058,34,20,?200.00
15151,4-11-2017,E1039,48,6,?104.70
18934,9-6-2015,E1004,53,8,?156.00
52181,3-26-2018,E1045,31,14,?84.00
21127,8-7-2017,E1028,34,30,?300.00
35507,8-19-2017,E1064,43,30,"?1,200.00"
71894,4-8-2018,E1004,2,10,?100.00
20455,6-12-2018,E1045,23,20,?720.00
76764,11-3-2017,E1063,44,4,?56.00
71657,5-1-2017,E1044,31,5,?30.00
9887,9-27-2015,E1007,42,4,?103.56
31045,5-27-2016,E1003,64,30,?855.00
69193,12-30-2018,E1074,20,80,"?2,000.00"
9305,12-30-2016,E1080,19,40,?500.00
25377,7-4-2018,E1025,57,21,?957.60
34277,12-29-2017,E1052,66,70,"?1,260.00"
47194,8-23-2018,E1069,76,9,?299.25
28917,6-24-2017,E1062,29,6,?276.00
25494,9-25-2018,E1089,5,40,"?2,500.00"
7500,10-1-2016,E1029,31,4,?24.00
58242,1-15-2016,E1022,21,12,?312.00
59812,1-9-2017,E1017,17,16,?248.00
27485,5-2-2018,E1058,53,24,?468.00
34466,10-28-2017,E1025,16,50,?125.00
23225,1-30-2016,E1046,3,50,?920.00
59588,5-28-2015,E1048,9,25,?550.00
34846,3-30-2018,E1013,8,35,?630.00
53576,1-9-2015,E1016,66,30,?540.00
38196,1-18-2015,E1001,72,9,?81.00
49792,1-1-2017,E1041,20,40,"?1,000.00"
34709,6-26-2015,E1072,4,10,?340.00
65860,6-30-2016,E1024,25,12,?374.76
63228,5-10-2018,E1047,40,20,"?1,940.00"
31200,1-26-2018,E1021,55,8,?120.00
54890,12-11-2015,E1069,22,10,?45.00
47799,6-26-2017,E1060,70,50,"?1,162.50"
71061,9-13-2018,E1049,7,25,?475.00
68143,5-31-2018,E1055,9,15,?330.00
85817,1-20-2015,E1012,64,16,?456.00
66620,4-16-2016,E1031,50,10,?210.00
35867,9-14-2015,E1033,11,40,?510.00
9874,6-26-2015,E1030,2,40,?400.00
62094,3-28-2016,E1031,48,10,?174.50
8806,11-2-2016,E1054,56,10,?95.00
76633,11-19-2015,E1012,23,8,?288.00
71053,11-30-2017,E1055,71,10,?74.50
36355,3-28-2018,E1006,61,6,?84.00
35421,5-6-2018,E1068,28,25,?475.00
28118,9-15-2018,E1025,46,7,?105.00
39988,2-3-2018,E1068,38,48,"?1,536.00"
16165,9-16-2016,E1036,11,18,?229.50
11564,2-9-2017,E1019,7,40,?760.00
65527,9-25-2015,E1012,33,24,?336.00
72083,6-19-2015,E1047,70,20,?465.00
64854,11-18-2016,E1076,14,28,?196.00
24783,2-23-2015,E1024,75,25,"?1,097.50"
23455,10-14-2015,E1088,31,15,?90.00
79975,9-10-2015,E1086,75,20,?878.00
6600,1-31-2015,E1022,21,70,"?1,820.00"
23918,7-13-2016,E1024,63,28,?280.00
57133,7-16-2018,E1032,36,10,?170.00
25165,9-22-2016,E1075,15,20,?430.00
38171,4-24-2016,E1024,14,40,?280.00
7807,1-21-2018,E1001,17,12,?186.00
34513,7-22-2017,E1027,67,9,?443.70
49244,11-11-2017,E1069,69,8,?990.32
37293,6-28-2017,E1028,66,40,?720.00
31584,4-6-2018,E1058,30,24,?231.60
70503,5-27-2017,E1043,68,40,?368.00
66887,1-13-2015,E1088,10,56,"?1,195.60"
16193,1-27-2018,E1064,22,15,?67.50
5195,5-27-2018,E1066,4,4,?136.00
19769,9-7-2015,E1080,23,50,"?1,800.00"
39050,6-30-2017,E1019,68,35,?322.00
50501,10-15-2018,E1019,5,70,"?4,375.00"
76756,5-11-2018,E1004,43,70,"?2,800.00"
24637,4-28-2017,E1012,47,80,"?1,920.00"
81478,1-25-2016,E1025,3,9,?165.60
14528,4-12-2016,E1071,9,36,?792.00
45113,11-23-2018,E1006,60,20,?250.00
14508,5-6-2017,E1007,13,10,?132.50
31468,1-7-2018,E1068,38,6,?192.00
67343,2-18-2017,E1011,72,4,?36.00
40623,4-9-2015,E1057,67,50,"?2,465.00"
5063,7-7-2016,E1045,54,15,?116.25
34392,7-10-2018,E1086,57,25,"?1,140.00"
49782,10-9-2015,E1079,68,24,?220.80
73443,3-15-2015,E1013,60,15,?187.50
65119,11-1-2015,E1012,32,18,?324.00
75550,2-28-2015,E1059,19,20,?250.00
28582,7-25-2016,E1087,30,77,?743.05
77117,9-11-2015,E1015,20,10,?250.00
12395,8-25-2017,E1016,61,13,?182.00
88656,6-15-2015,E1048,55,20,?300.00
86565,7-29-2015,E1016,53,10,?195.00
78630,5-31-2015,E1026,5,50,"?3,125.00"
43796,11-12-2018,E1051,51,12,?456.00
67859,12-29-2017,E1032,65,4,?48.00
46720,8-30-2017,E1054,49,12,?393.60
13960,10-7-2018,E1018,76,25,?831.25
33792,10-2-2016,E1070,48,25,?436.25
83535,6-17-2018,E1038,35,30,?631.50
45782,8-26-2018,E1035,37,20,"?1,060.00"
68573,11-4-2015,E1053,63,12,?120.00
39111,4-20-2018,E1058,45,8,?104.00
85477,1-26-2018,E1017,50,16,?336.00
43731,1-23-2018,E1030,56,30,?285.00
43532,11-15-2015,E1066,55,20,?300.00
49245,12-4-2017,E1032,76,10,?332.50
79210,12-21-2017,E1085,30,10,?96.50
80201,3-17-2017,E1085,46,56,?840.00
61222,8-1-2016,E1005,53,80,"?1,560.00"
11705,6-30-2015,E1033,37,70,"?3,710.00"
44340,10-19-2017,E1016,76,35,"?1,163.75"
72380,5-2-2018,E1085,68,10,?92.00
65461,12-7-2017,E1031,69,30,"?3,713.70"
43322,11-18-2018,E1058,45,35,?455.00
21668,7-23-2016,E1068,50,28,?588.00
68291,11-12-2015,E1088,63,55,?550.00
66902,3-20-2018,E1037,57,54,"?2,462.40"
72989,8-29-2017,E1034,10,24,?512.40
80038,10-16-2017,E1005,6,20,?360.00
65864,7-5-2015,E1075,18,50,"?1,900.00"
58538,5-2-2017,E1078,45,20,?260.00
38799,10-22-2018,E1004,52,12,?660.00
17070,10-6-2015,E1041,1,12,?468.00
21866,11-7-2018,E1006,14,30,?210.00
45092,1-25-2017,E1024,51,5,?190.00
39511,1-8-2015,E1087,54,24,?186.00
16989,12-2-2017,E1041,55,5,?75.00
70236,9-19-2015,E1068,49,5,?164.00
28459,8-16-2018,E1037,18,7,?266.00
84159,8-13-2016,E1064,65,15,?180.00
89565,6-27-2016,E1018,38,36,"?1,152.00"
31420,11-13-2017,E1009,53,18,?351.00
74128,12-13-2016,E1008,60,35,?437.50
25670,11-8-2018,E1033,28,13,?247.00
63836,10-7-2017,E1035,44,25,?350.00
71576,9-29-2015,E1005,60,5,?62.50
45405,6-3-2015,E1089,25,18,?562.14
11701,7-21-2016,E1033,63,20,?200.00
25186,3-4-2017,E1001,77,20,?190.00
52283,9-4-2015,E1086,34,15,?150.00
41352,6-6-2017,E1050,64,30,?855.00
39641,10-31-2018,E1007,26,6,?126.00
44319,10-22-2015,E1015,77,40,?380.00
47440,6-24-2016,E1037,63,42,?420.00
9799,7-24-2015,E1080,66,70,"?1,260.00"
77769,1-11-2016,E1079,74,12,?195.00
12054,3-5-2017,E1015,8,50,?900.00
59819,6-9-2016,E1035,48,80,"?1,396.00"
70416,4-18-2018,E1007,17,15,?232.50
69024,10-2-2016,E1050,18,30,"?1,140.00"
42938,6-15-2016,E1023,57,10,?456.00
67708,12-7-2017,E1030,23,15,?540.00
68869,3-4-2015,E1062,49,42,"?1,377.60"
30539,1-29-2017,E1081,9,20,?440.00
83385,1-31-2015,E1014,21,20,?520.00
30217,6-30-2016,E1011,6,6,?108.00
20621,11-17-2015,E1063,10,8,?170.80
9665,9-11-2018,E1011,67,20,?986.00
59068,3-5-2015,E1078,15,16,?344.00
88820,6-16-2016,E1007,26,18,?378.00
45315,4-9-2018,E1051,75,6,?263.40
76678,9-29-2017,E1025,52,20,"?1,100.00"
30077,7-10-2015,E1069,28,30,?570.00
27928,1-18-2016,E1003,30,14,?135.10
41382,8-5-2015,E1018,68,60,?552.00
23805,9-22-2015,E1070,32,14,?252.00
78604,6-28-2017,E1011,65,32,?384.00
77453,3-11-2016,E1033,7,50,?950.00
56295,12-6-2015,E1007,45,9,?117.00
13884,8-19-2015,E1062,45,15,?195.00
40073,5-16-2017,E1021,14,20,?140.00
55305,6-23-2017,E1063,12,20,"?5,270.00"
7279,5-9-2016,E1034,51,15,?570.00
21047,3-7-2017,E1034,24,28,?544.60
29851,2-21-2016,E1046,50,8,?168.00
33367,10-15-2016,E1053,65,10,?120.00
46164,1-10-2015,E1047,39,20,?400.00
30548,10-22-2018,E1038,37,10,?530.00
59878,2-15-2016,E1045,3,15,?276.00
38537,9-1-2017,E1053,60,15,?187.50
61253,10-28-2016,E1063,41,6,?208.80
72870,9-6-2017,E1046,62,15,"?1,215.00"
26397,7-5-2017,E1062,46,12,?180.00
10416,9-23-2018,E1033,70,20,?465.00
47966,10-19-2016,E1064,35,15,?315.75
81973,7-24-2018,E1055,25,40,"?1,249.20"
64568,11-21-2017,E1066,20,20,?500.00
30022,10-25-2018,E1001,23,30,"?1,080.00"
39307,3-1-2015,E1001,41,16,?556.80
63671,5-25-2016,E1054,66,15,?270.00
67763,3-11-2018,E1014,30,24,?231.60
27212,10-25-2016,E1004,62,40,"?3,240.00"
79297,5-23-2018,E1071,53,45,?877.50
65100,4-12-2015,E1011,38,60,"?1,920.00"
11324,6-10-2017,E1071,61,18,?252.00
84074,9-26-2018,E1026,5,50,"?3,125.00"
67543,2-11-2016,E1087,11,32,?408.00
27138,8-17-2017,E1007,19,7,?87.50
54681,8-17-2018,E1040,27,70,"?2,170.00"
74491,2-3-2018,E1039,11,42,?535.50
43222,6-21-2017,E1088,50,25,?525.00
43693,5-21-2018,E1035,37,10,?530.00
8151,10-10-2017,E1001,39,10,?200.00
13128,2-9-2016,E1041,6,70,"?1,260.00"
47844,6-13-2016,E1048,37,28,"?1,484.00"
45372,8-26-2015,E1071,62,8,?648.00
22669,9-21-2015,E1031,5,40,"?2,500.00"
40993,12-29-2018,E1047,3,21,?386.40
38646,9-11-2016,E1012,68,60,?552.00
41973,11-30-2017,E1007,28,10,?190.00
68413,7-23-2018,E1083,2,18,?180.00
83255,11-22-2018,E1073,53,30,?585.00
52884,5-22-2018,E1086,57,120,"?5,472.00"
9924,3-11-2015,E1066,37,60,"?3,180.00"
88910,12-18-2016,E1061,55,35,?525.00
38137,2-12-2015,E1011,18,14,?532.00
54836,2-24-2017,E1019,53,30,?585.00
63009,9-10-2018,E1010,37,30,"?1,590.00"
75464,8-16-2015,E1049,3,35,?644.00
82138,6-15-2016,E1040,14,21,?147.00
67788,4-26-2018,E1059,65,18,?216.00
21884,8-17-2018,E1012,74,70,"?1,137.50"
14446,8-12-2018,E1066,16,60,?150.00
33008,12-31-2017,E1055,29,20,?920.00
82729,4-4-2017,E1071,37,60,"?3,180.00"
84576,10-19-2017,E1050,64,65,"?1,852.50"
53331,4-18-2018,E1069,2,21,?210.00
79309,1-6-2016,E1088,10,70,"?1,494.50"
56524,11-14-2017,E1061,30,40,?386.00
30806,1-27-2015,E1040,42,30,?776.70
48215,1-6-2017,E1064,60,30,?375.00
32227,10-10-2017,E1068,22,50,?225.00
78776,4-26-2016,E1052,11,5,?63.75
45371,10-25-2016,E1075,17,30,?465.00
36618,3-26-2015,E1050,2,10,?100.00
66020,12-21-2017,E1015,51,2,?76.00
52673,7-5-2018,E1035,30,42,?405.30
18324,11-22-2016,E1033,32,15,?270.00
58092,5-23-2018,E1060,35,15,?315.75
64036,2-26-2015,E1028,32,30,?540.00
42917,11-14-2015,E1070,24,10,?194.50
16298,8-9-2017,E1017,22,6,?27.00
89252,1-22-2015,E1057,12,35,"?9,222.50"
27618,6-9-2015,E1003,4,12,?408.00
46847,7-15-2016,E1076,54,12,?93.00
69229,9-5-2015,E1052,29,16,?736.00
38689,4-19-2017,E1077,27,49,"?1,519.00"
78369,8-9-2015,E1081,52,40,"?2,200.00"
54372,7-6-2018,E1053,38,25,?800.00
57129,12-25-2016,E1042,13,9,?119.25
37701,2-17-2015,E1064,68,20,?184.00
8488,6-16-2017,E1051,25,40,"?1,249.20"
7815,3-21-2015,E1084,43,24,?960.00
24121,8-26-2015,E1005,32,14,?252.00
37516,7-22-2018,E1086,22,50,?225.00
55660,12-23-2016,E1064,23,18,?648.00
78177,4-2-2015,E1061,8,2,?36.00
52338,6-12-2017,E1020,25,20,?624.60
78573,4-3-2016,E1049,28,10,?190.00
17719,11-24-2015,E1027,28,20,?380.00
36692,5-22-2016,E1024,1,20,?780.00
76204,1-16-2018,E1005,15,36,?774.00
18568,6-15-2015,E1052,4,35,"?1,190.00"
33536,4-1-2018,E1034,11,50,?637.50
43401,9-7-2018,E1009,9,2,?44.00
86204,7-31-2015,E1012,7,16,?304.00
71596,6-2-2017,E1031,46,60,?900.00
76493,4-19-2016,E1089,51,15,?570.00
23746,1-28-2018,E1066,69,55,"?6,808.45"
57161,5-8-2018,E1036,50,60,"?1,260.00"
23684,5-28-2017,E1049,72,20,?180.00
16143,4-28-2016,E1009,32,20,?360.00
21609,1-26-2017,E1064,36,8,?136.00
67668,1-5-2015,E1072,25,2,?62.46
14008,3-8-2015,E1080,52,20,"?1,100.00"
69328,6-29-2015,E1028,9,15,?330.00
46468,9-25-2017,E1085,76,10,?332.50
30028,8-14-2017,E1016,18,30,"?1,140.00"
46260,10-19-2018,E1045,61,4,?56.00
85085,6-13-2017,E1088,26,2,?42.00
83194,9-18-2017,E1001,6,14,?252.00
14930,11-8-2016,E1031,58,20,?280.00
39455,2-6-2018,E1039,59,49,"?2,151.10"
61450,8-18-2015,E1055,45,60,?780.00
72154,8-24-2016,E1059,52,30,"?1,650.00"
80124,9-8-2015,E1065,71,10,?74.50
11243,10-1-2018,E1027,12,20,"?5,270.00"
56535,7-8-2018,E1054,64,5,?142.50
39054,7-6-2015,E1089,46,7,?105.00
5995,7-13-2015,E1002,65,35,?420.00
7696,1-18-2017,E1060,15,20,?430.00
6110,11-16-2016,E1023,73,40,"?1,200.00"
71208,12-26-2017,E1085,15,35,?752.50
74293,4-7-2015,E1058,41,50,"?1,740.00"
47146,5-3-2015,E1021,18,70,"?2,660.00"
68340,12-31-2017,E1055,41,45,"?1,566.00"
5566,5-5-2016,E1027,25,30,?936.90
80816,4-2-2018,E1054,59,50,"?2,195.00"
15905,5-6-2017,E1071,53,50,?975.00
7994,4-25-2017,E1055,59,30,"?1,317.00"
5500,2-1-2016,E1006,57,10,?456.00
39137,10-22-2016,E1050,23,40,"?1,440.00"
15648,2-1-2017,E1038,54,28,?217.00
13332,6-13-2015,E1073,31,6,?36.00
47512,6-21-2016,E1067,39,18,?360.00
42071,6-13-2016,E1068,69,10,"?1,237.90"
86289,7-28-2016,E1075,75,12,?526.80
41356,2-7-2018,E1046,20,10,?250.00
84763,1-22-2015,E1043,39,30,?600.00
51427,8-27-2015,E1048,41,5,?174.00
61232,7-9-2015,E1063,66,24,?432.00
6345,10-15-2016,E1025,17,40,?620.00
15445,3-28-2018,E1018,32,15,?270.00
52685,9-16-2015,E1055,45,15,?195.00
50737,10-25-2018,E1012,6,20,?360.00
80357,7-7-2017,E1015,74,15,?243.75
87370,11-14-2015,E1083,62,15,"?1,215.00"
37721,10-8-2015,E1048,70,30,?697.50
87964,11-8-2018,E1027,69,6,?742.74
23279,2-10-2018,E1040,39,16,?320.00
86576,2-8-2015,E1056,74,90,"?1,462.50"
62736,3-4-2018,E1032,76,45,"?1,496.25"
24693,2-19-2018,E1029,44,49,?686.00
51979,9-4-2016,E1062,39,24,?480.00
40501,8-26-2017,E1046,24,50,?972.50
85326,12-13-2015,E1034,45,60,?780.00
71747,2-7-2018,E1036,38,30,?960.00
54338,3-20-2017,E1025,30,80,?772.00
49111,5-15-2016,E1079,58,12,?168.00
40149,11-22-2015,E1078,72,6,?54.00
74637,12-25-2018,E1021,43,8,?320.00
26971,10-6-2018,E1034,50,10,?210.00
21984,11-30-2017,E1063,50,30,?630.00
19761,8-19-2015,E1038,38,15,?480.00
56349,11-6-2017,E1065,76,15,?498.75
21871,2-19-2017,E1035,33,6,?84.00
27255,3-27-2016,E1081,10,20,?427.00
89324,11-13-2015,E1078,31,12,?72.00
30085,8-3-2016,E1017,19,15,?187.50
49566,8-14-2018,E1076,17,3,?46.50
23314,3-18-2016,E1068,53,2,?39.00
57631,10-19-2016,E1070,59,40,"?1,756.00"
59759,10-21-2018,E1007,31,35,?210.00
21118,11-27-2017,E1025,41,6,?208.80
89938,4-3-2018,E1019,20,20,?500.00
47078,3-6-2015,E1050,38,20,?640.00
25461,4-6-2015,E1087,73,14,?420.00
32127,12-16-2015,E1037,69,35,"?4,332.65"
35734,8-26-2015,E1011,34,20,?200.00
78314,1-5-2015,E1019,29,6,?276.00
52406,3-2-2015,E1081,43,120,"?4,800.00"
43538,2-3-2018,E1076,31,35,?210.00
74420,9-4-2015,E1063,53,28,?546.00
18594,2-25-2015,E1070,1,55,"?2,145.00"
61535,8-14-2015,E1045,31,15,?90.00
48913,5-23-2018,E1077,25,100,"?3,123.00"
89455,6-13-2018,E1043,35,25,?526.25
60810,6-16-2018,E1001,46,15,?225.00
8182,3-5-2015,E1042,59,20,?878.00
67283,12-20-2016,E1049,3,20,?368.00
11999,8-25-2016,E1037,27,10,?310.00
42126,6-18-2015,E1014,77,30,?285.00
26454,11-26-2016,E1017,52,20,"?1,100.00"
62113,1-16-2017,E1006,71,25,?186.25
88366,4-15-2017,E1016,6,50,?900.00
78983,10-1-2018,E1080,9,21,?462.00
74625,3-7-2017,E1029,64,40,"?1,140.00"
32661,1-24-2016,E1043,36,36,?612.00
66538,10-19-2018,E1030,62,15,"?1,215.00"
84458,7-30-2015,E1021,2,20,?200.00
74609,3-31-2016,E1012,28,30,?570.00
54690,7-17-2017,E1054,44,50,?700.00
61734,1-16-2017,E1054,35,30,?631.50
21629,2-15-2015,E1083,59,16,?702.40
33691,1-19-2017,E1085,48,20,?349.00
27532,5-12-2017,E1026,13,40,?530.00
44676,8-4-2018,E1020,76,21,?698.25
38580,5-5-2018,E1003,31,4,?24.00
83778,12-17-2016,E1071,5,40,"?2,500.00"
22801,1-21-2015,E1040,10,28,?597.80
49148,10-14-2017,E1037,53,60,"?1,170.00"
78092,8-25-2015,E1075,3,1,?18.40
37489,5-3-2015,E1033,53,21,?409.50
59216,2-10-2017,E1078,50,50,"?1,050.00"
9474,4-30-2016,E1087,71,21,?156.45
19421,12-26-2018,E1088,8,16,?288.00
50638,12-17-2018,E1057,14,30,?210.00
72808,8-16-2017,E1073,62,20,"?1,620.00"
71021,8-29-2016,E1040,47,3,?72.00
71669,3-13-2017,E1073,57,25,"?1,140.00"
9580,9-19-2016,E1043,17,30,?465.00
25549,1-10-2016,E1032,46,25,?375.00
23786,10-5-2016,E1004,7,20,?380.00
27560,3-17-2015,E1066,18,18,?684.00
40948,1-8-2016,E1007,1,5,?195.00
19728,7-21-2017,E1089,10,10,?213.50
54498,10-1-2015,E1039,21,12,?312.00
